MPC,a,sigma_a,e,sigma_e,i,sigma_i,aop,sigma_aop,lan,sigma_lan,T_p,sigma_T,q,sigma_q,d,sigma_d,delta,sigma_delta,m_r,sigma_m_r,NUNIQUE,NDETECT,CHI2,x,y,z,vx,vy,vz,Sigma_x_x,Sigma_x_y,Sigma_x_z,Sigma_x_vx,Sigma_x_vy,Sigma_x_vz,Sigma_y_y,Sigma_y_z,Sigma_y_vx,Sigma_y_vy,Sigma_y_vz,Sigma_z_z,Sigma_z_vx,Sigma_z_vy,Sigma_z_vz,Sigma_vx_vx,Sigma_vx_vy,Sigma_vx_vz,Sigma_vy_vy,Sigma_vy_vz,Sigma_vz_vz,Class,Notes,H_g,sig_g,H_r,sig_r,H_i,sig_i,H_z,sig_z,g-r,r-i,r-z
b'1997 RT5',41.30493934,0.00193741,0.02570883,4.397e-05,12.7336892,0.00010052,18.62136958,0.27656068,163.75249874,0.0002,104395.31292273,80.60194276,40.243037707640035,0.0003840579075426996,42.42337978,0.00052528,42.36243329,0.0005131,23.43453625,0.06511927,11,14,24.92336,41.886293924,6.173221055,-1.4161488491,-0.1320766857,0.924752488,0.1914001302,2.6914772545452064e-07,4.1794072409403694e-08,-9.77327387718305e-09,4.090171865318033e-08,1.20019461215846e-08,-4.5368500111692303e-10,6.610523655856721e-09,-1.4983359911071307e-09,7.295717622731743e-09,2.005774535184629e-09,-1.0573094817057913e-10,3.7398487625926005e-10,-1.3107803215434558e-09,-4.0947389072398135e-10,9.398520827929059e-12,1.4717766567232193e-08,3.1073471706237703e-09,-3.86640541322822e-10,7.31948399157148e-10,-6.820354380854278e-11,1.5589103418241052e-11,b'Classical',b'',7.691142813323536,0.10747087054386814,7.041844097858489,0.0755849279614205,6.7114883641448895,0.06947907555575722,6.721296183006482,0.1113155638799088,0.6492987154650472,0.33035573371360183,0.32054791485201
b'1999 RB216',47.54693131,0.00102254,0.29236585,1.278e-05,12.68793084,5.036e-05,208.67885604,0.00770772,175.72386303,0.00013499,56776.39067755,1.34016249,33.645832429571826,0.0013304629165758744,33.38326075,0.00010554,33.66016217,8.53e-05,22.41803573,0.02364225,18,30,29.91334,29.7100105434,15.625777331,2.4813048017,-0.5635070399,1.0742552597,0.2140398547,8.666936322466563e-09,4.580950872673932e-09,7.012413693476835e-10,-3.735756918505895e-10,2.2503048919251674e-10,5.0117576587005614e-11,2.426790398839157e-09,3.7113715945010655e-10,-1.562348979158427e-10,1.3990862351469483e-10,2.945155169210452e-11,5.993660340614423e-11,-2.1236682207012314e-11,2.2470320260784054e-11,6.024985714223725e-12,1.149519861591511e-09,5.185477314427252e-10,7.725620542109935e-11,2.540229302567915e-10,3.839322150395631e-11,7.440391596909825e-12,b'Resonant 2:1',b'',7.885743005295664,0.0464798083272893,7.084024978221171,0.03191642022415265,6.7667709362291735,0.033188260806347146,6.652716124349299,0.04755483996126325,0.8017180270744917,0.31725404199199775,0.4313088538718727
b'1999 RG215',46.39353702,0.00407033,0.07109221,0.00017478,0.24203434,0.0001111,114.15700339,0.11789296,292.38916861,0.05999675,71219.18380948,26.01129649,43.09531807268823,0.01117115465670002,44.28522997,0.0006896,44.10663725,0.00068817,23.75095743,0.09119263,8,9,20.08863,44.0619949874,-1.8808191669,-0.6313214634,-0.00628987,0.8890967165,0.3871442706,4.745329800060349e-07,-2.778330161928806e-08,-1.0031127559460105e-08,-3.765397944979831e-08,1.369348082397816e-08,5.800840172107498e-09,1.9610475049475277e-09,6.998546703049812e-10,5.12662179915259e-09,-9.858973647049813e-10,-3.9665840191599515e-10,3.367330696758132e-10,2.0697901776456237e-09,-3.594382198663003e-10,-1.7088487200923876e-10,3.608769606926016e-08,-2.9027964296364744e-09,-1.1054112489459e-09,5.169197702453862e-10,2.0281086846771713e-10,1.0535494398802582e-10,b'Classical',b'',8.168538506884877,0.15859775486747038,7.264396704058855,0.12310637953647648,7.0322455596363,0.12831694992111492,6.464820470015303,0.21456327672015912,0.9041418028260239,0.23215114442255907,0.7995762340435496
b'1999 RK215',39.38363198,0.00292529,0.13894426,0.00018285,11.46171308,0.00017887,95.04110157,0.17443361,137.51867204,0.0028185,20383.21251697,55.5193837,33.91150256829676,0.00867409320573254,43.82514857,0.00109434,44.19126279,0.00086833,24.00547572,0.07796634,8,9,11.40454,38.5925800101,21.5260296876,0.3324473706,-0.3623432502,0.7673166952,0.2554513453,8.936868656696888e-07,5.213693013554341e-07,1.0102018058164372e-08,-3.192317357173256e-07,-1.8453399532394816e-07,-3.1870106402378455e-09,3.051681473155707e-07,6.0637259190755145e-09,-1.9120563434616825e-07,-1.1125728420385494e-07,-2.059939316416701e-09,4.917476222466334e-10,-5.086783315418086e-09,-3.0974934296566365e-09,-2.474777265095216e-10,1.580021026120308e-07,9.595375207993963e-08,2.8989048965773672e-09,5.873226142850304e-08,1.8617362046279525e-09,1.6174582254397963e-10,b'Resonant 3:2',"b'3,2,-4,0,1,0'",8.38275160520426,0.18832690350216985,7.6062689119386615,0.1351415925531904,7.379575083820216,0.1462256609449633,7.004428722448894,0.18833668608502954,0.7764826932655988,0.22669382811844901,0.6018401894897704
b'1999 RN215',43.1653078,0.00124325,0.07348575,8.621e-05,12.41009409,8.312e-05,102.5917587,0.09118942,140.65267938,0.00092212,17364.36146877,30.50115585,39.99327263452845,0.004060009100107399,45.37733078,0.00035128,45.6579436,0.00028101,23.27211858,0.0476267,15,23,36.56187,39.8493994257,22.2854634064,-0.1769173381,-0.3870159853,0.7782280711,0.2456979788,9.467961503774862e-08,5.2129390782802156e-08,-1.035141226412663e-09,-9.758389181039034e-09,-3.462519184159901e-09,5.263099358305838e-10,2.8728354106980296e-08,-5.684711479369437e-10,-5.065731506876994e-09,-1.7332465532452468e-09,2.8835209296918156e-10,2.6702390164665166e-11,1.7382496405388024e-10,7.67281294428953e-11,-9.703961144219982e-12,1.4467987766652338e-08,8.144257738150451e-09,-1.1843670941881156e-10,4.646089892881107e-09,-5.6389540088792014e-11,1.4353312928514724e-11,b'Classical',b'',7.705368482518841,0.10404847974778017,6.576231352545731,0.05197609985395054,6.174369941204274,0.04723748174161743,6.008817792090058,0.07054223419594967,1.129137129973112,0.40186141134145625,0.5674135604556713
b'2000 OL67',45.08684501,0.00192265,0.10949366,6.651e-05,1.9825321,8.021e-05,312.93876497,0.02133849,322.66383751,0.00153111,36501.43964221,3.95298056,40.15012121254555,0.0034513377525600317,43.9729748,0.00048014,43.73256919,0.00047701,23.34495687,0.0532304,16,25,50.57637,43.6074685852,-3.2653097922,-0.5138516826,0.1710293901,0.8590238276,0.4048186903,2.2883191385623635e-07,-1.963195381155012e-08,-3.7117279226835164e-09,-1.2841777005027032e-08,5.7661402435373415e-09,2.3818990788654823e-09,1.7171262838756896e-09,3.290703001548503e-10,1.3897070138872448e-09,-5.183019199352197e-10,-2.0831968422994647e-10,7.507048580183877e-11,3.419013855034248e-10,-1.0425655726635591e-10,-4.093594394014058e-11,4.346966291313716e-09,-6.144975355587972e-10,-1.8355499992300227e-10,1.7122847473936257e-10,6.403008910693446e-11,2.8069131872326126e-11,b'Classical',b'',7.941503032287832,0.120850370306817,6.922351127309286,0.06724573906380832,6.474230477863186,0.05633939719616344,6.336306642591792,0.09595847924413503,1.0191519049785436,0.44812064944610147,0.5860444847174953
b'2000 QC226',44.09590185,0.0024219,0.05253503,0.0003316,2.66047055,4.914e-05,206.02048521,0.29781714,99.72665855,0.00654436,43163.0548748,73.90290753,41.77932221951293,0.014769691063590717,42.75687287,0.00124043,42.61389541,0.00123735,23.20021709,0.05252221,12,16,22.59707,42.5513977359,-0.3756882145,-2.2762888412,0.0678243156,0.9004595287,0.3786531664,1.5355323054380437e-06,7.2400660279518864e-09,-7.512009553171743e-08,-4.5271900110681247e-07,3.6872296472340795e-09,2.462154626475546e-08,2.229536072407136e-10,-3.1432571985551817e-10,-3.835947266723698e-09,-1.3874234018954426e-10,1.5597447462004672e-10,3.788266770361945e-09,2.141117425244804e-08,-2.2736063173270892e-10,-1.2340099727751908e-09,1.645779381995581e-07,9.140926122840894e-10,-7.980906375372087e-09,1.6481465259224562e-10,1.2307082221288559e-11,4.386082450376768e-10,b'Classical',b'',7.937989420685232,0.16219281545835676,6.8816358613129065,0.07447292368970818,6.4818216347158195,0.08376339081549644,6.251289823887655,0.09004102527136532,1.0563535593723248,0.399814226597089,0.6303460374252519
b'2001 QE298',43.71324874,0.00473502,0.15532684,6.773e-05,3.65798881,0.00018386,10.67596966,0.05452957,7.75574511,0.00010688,58937.26044189,11.50345482,36.92340790764204,0.006909236720400674,36.94656774,0.00088701,36.96382628,0.00085745,23.28196193,0.05311604,12,16,30.94724,36.2705322239,6.4812607242,2.9607777175,-0.2326156821,0.9665944272,0.4961121933,7.629109020864345e-07,1.253478343738789e-07,5.77184762759943e-08,6.64961782217098e-08,2.876411764393049e-08,1.421043670878485e-08,2.063666618020995e-08,9.487427859169903e-09,1.122576798243989e-08,4.779961444794209e-09,2.3516496510982458e-09,4.402996312618735e-09,5.185329208304169e-09,2.1956740265487916e-09,1.1000725575174657e-09,1.8520768122291857e-08,4.090520427792883e-09,1.940531643601006e-09,1.2943888227686385e-09,6.232923814486174e-10,3.161645890410569e-10,b'Resonant 7:4',b'',8.557146818446027,0.10894687177511848,7.590179452616441,0.06234172828672641,7.337404676126338,0.09171466028383227,6.978360796066509,0.09389317367098214,0.9669673658295854,0.25277477649010227,0.6118186565499292
b'2001 QF298',39.37795977,0.0005322,0.11110883,9.49e-06,22.35193671,2.897e-05,42.19875387,0.01336022,164.1843418,2.876e-05,18990.2712684,3.65999282,35.0027206466574,0.0004975525223119435,43.48945026,0.00015674,43.37065705,0.00015332,21.63838405,0.00999236,18,28,34.92438,42.9112497478,4.5743653086,-4.3259357318,-0.0509923378,0.9029033203,0.0345493966,2.4006291788907187e-08,2.686643852636591e-09,-2.5040048668168527e-09,1.9350562521740347e-09,7.054758543642415e-10,-1.8885401826935242e-10,3.0411794267701057e-10,-2.8015056609622963e-10,2.528739480456792e-10,8.249591668200684e-11,-2.4966442457369764e-11,2.6197171093370875e-10,-2.0087221073515346e-10,-7.350205895615409e-11,1.955878354274947e-11,6.479478792694737e-10,1.0546889361435441e-10,-6.696353679941302e-11,2.575969078968892e-11,-1.0656220278087436e-11,7.156141053290344e-12,b'Resonant 3:2',"b'3,2,-7,0,1,0'",5.6809870971021486,0.024895027630100257,5.232070625092517,0.01873705309910867,5.117759278234955,0.022021256895459175,5.032190173091552,0.03950798790550137,0.44891647200963264,0.11431134685756396,0.19988045200096916
b'2001 QF331',42.25869881,0.00536889,0.25253941,0.00017112,2.67256091,0.0002709,249.48396574,0.05928315,156.77752851,0.00447733,62208.01313686,8.76846066,31.586711778202176,0.010928707480190054,32.31793448,0.00072895,32.43098905,0.00067576,22.83538359,0.056471,10,15,25.41187,31.0341403605,8.9792976229,2.8325601923,-0.4720378487,1.0530167287,0.4131528431,4.958977227687552e-07,1.2761598971200767e-07,3.836710799204558e-08,1.0720307512471724e-07,3.434741970952091e-08,1.0792815588955516e-08,3.2954942420357194e-08,9.886089873705257e-09,2.6197987270518755e-08,8.607767851810506e-09,2.694584772607494e-09,3.0521435114562782e-09,7.791555115846455e-09,2.552482043276988e-09,8.640991399340578e-10,8.827087465560428e-08,2.119038036584098e-08,6.277301631443422e-09,5.345108983470466e-09,1.5826965213515876e-09,5.265534723731418e-10,b'Resonant 5:3',b'',8.656460190858587,0.18561830583351957,7.511246488427242,0.22957842679801277,7.219816977160489,0.2318926945445327,7.24753644211482,0.3967517831414915,1.1452137024313433,0.2914295112667558,0.26371004631242567
b'2001 QG298',39.34073092,0.00376608,0.19248706,0.00020252,6.48959422,0.00021822,209.97857776,0.38900559,162.53652179,0.00152093,55659.76002374,64.2502371,31.768149422577995,0.010901725548277588,31.64653478,0.0012247,31.8522926,0.0010605,21.73185055,0.01723831,10,14,19.78909,29.3032665957,12.1810693838,2.7401932614,-0.4418435724,1.0768233429,0.3499897693,1.2946368908325079e-06,5.056623007816638e-07,1.0596088485588478e-07,1.394448567423984e-06,5.349912212122281e-07,1.112630462298181e-07,1.9752356697776804e-07,4.1387744090397504e-08,5.443895433823648e-07,2.0888472153695094e-07,4.3440149668304577e-08,8.690555761009461e-09,1.1406109278125551e-07,4.3763517511533086e-08,9.117259750682307e-09,1.575950853096297e-06,6.023168858975492e-07,1.2505952824982527e-07,2.3028611283733133e-07,4.781809766966136e-08,9.94496026531089e-09,b'Resonant 3:2',b'',7.518022712368959,0.10982131829352951,6.483812684777918,0.13456978346182108,6.116472579973459,0.13997559600048032,6.130231429109669,0.07465571570685935,1.0342100275910457,0.3673401048044519,0.3535812556682452
b'2001 QH298',39.38059507,0.00302215,0.10894925,0.00022466,6.71172717,0.0001354,169.35338347,0.04348194,129.45192743,0.002646,41090.20711674,5.69938063,35.090108760170764,0.01045127911355218,37.88363351,0.0005611,37.97987724,0.00051681,23.97277924,0.08200486,7,7,9.40037,36.3661906561,10.9485767443,0.3161000831,-0.1804210901,0.960248577,0.3510026732,2.889681280347118e-07,8.643152714404803e-08,1.5707847172321976e-09,-3.6347194584693566e-08,-9.658050721500572e-10,3.4083242125145476e-09,2.5996041249318242e-08,5.040094029040448e-10,-8.784916228472301e-09,3.526182657879323e-10,1.0376672834821565e-09,6.7362319168271e-11,5.652552835042557e-10,2.2953819183380233e-10,2.3854209586146276e-11,5.125955950002128e-08,1.4481781436041455e-08,-2.4404154719320085e-11,4.460328109774217e-09,1.1302874835834242e-10,8.020433681861246e-11,b'Resonant 3:2',"b'3,2,-2,0,1,0'",8.677819267011268,0.1355648336838105,8.162936943737305,0.10166007666981056,7.912988577009104,0.11688474654998136,7.952163933115271,0.1821199523266294,0.5148823232739619,0.2499483667282047,0.21077301062203804
b'2001 QO297',42.93266994,0.00104415,0.03656399,4.345e-05,1.1361109,6.037e-05,316.5340097,0.02944198,143.31083023,0.00280634,82976.41976742,8.06681507,41.36288016505223,0.002383780517910511,43.05596599,0.00024338,42.98212831,0.00024092,22.82030252,0.03411367,20,31,53.88378,42.7474500339,4.3106728667,1.239745727,-0.1341421162,0.8759861224,0.3650711175,5.8673933357924216e-08,5.520587784000073e-09,1.5145190230388046e-09,-2.069872966822503e-09,1.08400942076065e-09,4.769675067325903e-10,5.339204398759842e-10,1.4599559776096367e-10,-7.673391171605838e-11,1.1321798282911103e-10,4.798859266129986e-11,4.6650773929637105e-11,-4.559051339751627e-12,3.264534277195691e-11,1.3562272568132804e-11,1.7486029361046508e-09,1.216217407538839e-10,2.7316770563825378e-11,3.71941141819835e-11,1.3045210663138663e-11,6.933198152099833e-12,b'Classical',b'',7.375223509873072,0.06130717511287727,6.469099419878168,0.05337964733691585,6.122433562093091,0.06081643329178865,5.950448840564944,0.08092467153500406,0.906124089994909,0.34666585778507847,0.5186505793132219
b'2001 QP297',45.20285162,0.00158751,0.12055697,6.189e-05,1.43081516,2.277e-05,164.09123356,0.01190367,111.80984275,0.00431662,32778.76440349,3.27396904,39.75333288207484,0.003732896363939403,44.90366536,0.00032826,44.89492961,0.00031951,23.47983882,0.04739537,14,25,36.38453,44.2536835751,7.2995334383,1.9705345208,-0.0442032015,0.865927733,0.3670302989,1.0499513258021136e-07,1.6489593782821183e-08,4.270925883076216e-09,2.037570890007625e-09,2.4655600344947165e-09,9.90024887245922e-10,2.6194648295474823e-09,6.782436030550244e-10,5.584950712864475e-10,4.2453966228123075e-10,1.6567266501915824e-10,1.8890537075647412e-10,1.8389855930726374e-10,1.166376526474969e-10,4.3311256966903934e-11,3.2890638390716936e-09,5.730270339876582e-10,1.5776831501958216e-10,1.460729154528153e-10,4.566443665483184e-11,1.8467817242043117e-11,b'Classical',b'',7.82989155326854,0.10072268590076516,6.843225849709549,0.07049931914317167,6.488553559765942,0.07238363697995505,6.357296962782941,0.11222657076649506,0.9866657035589942,0.35467228994360395,0.48592888692660147
b'2001 QQ322',43.99033739,0.00085736,0.05176928,3.902e-05,3.95830524,2.15e-05,350.59114562,0.0294407,76.47808609,0.00105936,74960.60976555,7.09965956,41.71298910812057,0.001950229441570845,43.05312646,0.00020752,42.92185358,0.00020622,22.905098,0.02974858,22,35,61.3771,42.7885568118,2.8017052937,-1.8908644357,-0.0842452148,0.879058273,0.4043545062,4.279071019696306e-08,2.823157581796165e-09,-1.9389225671252908e-09,2.6911016949795407e-09,1.0723222707508898e-09,2.819394314737957e-10,1.9821219189121366e-10,-1.2488312558930764e-10,2.8219016973344453e-10,7.706514367825976e-11,1.3787801640082457e-11,9.441513782471722e-11,-7.482415624607079e-11,-4.5556718458725934e-11,-1.5368261943489372e-11,1.788654061003183e-09,1.715943226117298e-10,-5.678840320215635e-11,3.524252287952333e-11,2.2732352499365617e-12,6.955979691379214e-12,b'Classical',b'',7.539499103004276,0.08966400384258426,6.655531645387578,0.059656311591702905,6.224655608919123,0.05611126871015669,6.0902545591359445,0.0696698838101407,0.8839674576166922,0.43087603646845923,0.5652770862516356
b'2001 QS322',44.02389754,0.00181305,0.03874614,3.642e-05,0.24701538,9.772e-05,359.02803395,0.09624983,348.45798067,0.00780086,51910.83907442,26.14837673,42.31814126939941,0.0031709427807971678,42.4664091,0.0004031,42.41327809,0.00039692,23.45418037,0.04754466,16,23,44.3448,42.054531622,5.0265567593,2.2441603776,-0.1151145455,0.8939894918,0.3919775753,1.6021706569362033e-07,1.74170163346812e-08,7.799470502064845e-09,-1.8309016954618742e-09,3.3763546400351368e-09,1.478740567736711e-09,1.9431525130727655e-09,8.640267530481401e-10,1.8477922808391838e-10,4.1504381524247666e-10,1.8200811384133754e-10,3.998430448647682e-10,7.965223964726469e-11,1.8529494074163442e-10,8.174457350003774e-11,4.0518012582664816e-09,4.6054772693312024e-10,2.0599812825402584e-10,1.3615121898130052e-10,5.878734350598957e-11,2.912003724727977e-11,b'Classical',b'',8.025231847404966,0.12220284846569313,6.991493712790033,0.06859897283234608,6.64007818266146,0.08964394144072944,6.367711237606406,0.08644642299713147,1.0337381346149297,0.35141553012857274,0.6237824751836285
b'2002 PA149',43.59058928,0.00137936,0.17412072,5.366e-05,4.04951042,1.995e-05,153.11756489,0.00770057,105.57693829,0.00127764,32647.02742506,2.7132508,36.00056430717766,0.0031906006985498113,44.33881097,0.00027912,44.21644934,0.00027696,22.95716081,0.04005627,20,30,73.23279,44.0371280269,3.5553916328,-1.784639386,0.1078123962,0.865213019,0.3477871275,7.733104549486077e-08,5.713894551470059e-09,-3.463819160432547e-09,1.045233296827561e-09,1.4504392929845193e-09,5.191711346648367e-10,4.4228946079126474e-10,-2.5103827525429053e-10,2.612593069212889e-10,1.2264403514937286e-10,3.0823506083002377e-11,1.6528980674901694e-10,2.8986093485754145e-11,-5.864556747190835e-11,-2.6262615512384192e-11,2.8588947815692522e-09,2.569107430860297e-10,-1.0948582664967213e-10,4.9251147302630594e-11,2.0922611034227735e-14,1.0478311511355904e-11,b'Resonant 7:4',"b'7,4,-2,0,1,0'",7.234716945856514,0.0663632341743474,6.432270344683419,0.049586143523472716,6.092283540894085,0.05187220699369169,5.853371747320518,0.05722789066261918,0.8024466011730949,0.339986803789336,0.5788985973629054
b'2002 PD149',42.96150699,0.00179897,0.0615158,7.358e-05,4.90735576,2.508e-05,38.78038263,0.07016129,103.55157347,0.00146953,96050.68562946,22.9771268,40.3186954440567,0.002988489031140417,45.05413624,0.00052228,44.91875617,0.00051776,23.34259099,0.04601873,16,22,35.84268,44.7277016884,3.0694549523,-2.7759329118,-0.0740727544,0.8428802111,0.3521427848,2.703647399399634e-07,1.8972422393681586e-08,-1.714023569968582e-08,1.3075813164983387e-08,5.860958160885658e-09,1.1984592561737394e-09,1.3834505766087401e-09,-1.1874152415640198e-09,1.4843605712749919e-09,4.447021699279462e-10,4.594302762490971e-11,1.1074538373024944e-09,-5.964869823746323e-10,-3.5749452567690073e-10,-9.257477457664844e-11,9.176176781853784e-09,8.007523688039445e-10,-5.171499567110071e-10,1.6255611171700645e-10,-8.853109811583344e-12,4.8208912889026154e-11,b'Classical',b'',7.604756437064536,0.1130125449076853,6.768661845377936,0.08880347388200235,6.43237673943913,0.10594114299434738,6.423576180420733,0.11233599916945129,0.8360945916865961,0.33628510593880845,0.34508566495720777
b'2002 PG150',43.63454172,0.00264871,0.13622551,4.615e-05,5.54182209,5.612e-05,273.20804472,0.02489618,76.80711654,0.00131031,53276.40621902,5.38952345,37.690403888548424,0.004233435026014575,37.91180934,0.00043188,37.92803021,0.00041903,23.88577812,0.06934578,11,15,32.69932,37.3393953122,6.6024928939,-0.8438727939,-0.1196423616,0.9754343721,0.4612493621,1.809940586857848e-07,3.1716676858644487e-08,-4.63682864526676e-09,-3.1176536777444906e-10,5.440775811765957e-09,2.5017690255934084e-09,5.618036331738073e-09,-7.976605992461165e-10,2.7940079388879655e-10,1.0083532249981621e-09,4.3214442901296405e-10,1.5189430572696874e-10,1.5894463830868429e-10,-1.1067770784985869e-10,-7.534912937525258e-11,3.3640320695928517e-09,6.290948289311892e-10,-6.783173509822449e-11,2.9176242612581404e-10,6.312902390329676e-11,4.2603268181660423e-11,b'Resonant 7:4',b'',8.871602243005503,0.14150987638558427,7.97513364369753,0.07767507111485845,7.55307268892914,0.08757171611546621,7.257367140084726,0.1127736591286883,0.8964685993079713,0.4220609547683918,0.7177665036128061
b'2003 QB91',39.24012169,0.00120253,0.19423887,4.901e-05,6.49525962,8.436e-05,80.63318662,0.01996019,136.78368066,0.00113612,21098.63407767,7.66366589,31.61816487979339,0.0016539138107275425,45.84946328,0.00045123,45.90662446,0.00042527,23.34759983,0.04309469,16,30,48.91319,44.4821361487,11.3455403855,0.1909103893,-0.1192689749,0.7898186079,0.2770629349,1.9185078308531686e-07,4.753607017004971e-08,-9.284052418954864e-11,-1.5306873030190056e-08,4.092295832793834e-10,1.4643582825079195e-09,1.1806345483957485e-08,-1.7886055079366125e-11,-3.5155724656420963e-09,1.6987472432436806e-10,3.627409083412361e-10,1.4106506600492276e-11,1.0303638841050792e-10,2.3484814610841274e-11,-1.0237107339082104e-12,6.379711169797447e-09,1.2446100136188188e-09,-1.18641185410619e-10,3.2249682755326816e-10,2.673758300461574e-12,1.6223239814241387e-11,b'Resonant 3:2',"b'3,2,-11,0,1,0'",7.7738550226946455,0.09387438141516326,6.7043205341647845,0.046721962561664235,6.34463625538792,0.05057706742073433,6.325321632616545,0.10487813346327508,1.0695344885298577,0.35968427877686454,0.3789989015482405
b'2003 QM91',43.12406582,0.00095824,0.04377952,1.965e-05,3.04314169,6.582e-05,8.57058337,0.07097363,8.06421535,5.288e-05,59363.7892937,18.63662834,41.23611492456807,0.0017341522424755486,41.27693436,0.00019699,41.25097488,0.00019225,22.59915229,0.02657872,17,25,33.86509,40.7296372341,5.981919571,2.6374642845,-0.1637146397,0.8826362806,0.440512605,3.789358705146884e-08,5.3865569474460335e-09,2.3721352335584207e-09,-1.3767906607288977e-09,7.533549129207275e-10,3.8188504609040516e-10,7.809791049291639e-10,3.4289270748803965e-10,-1.9566925493514738e-11,1.2959360333858532e-10,6.39200851462537e-11,1.5502125502107142e-10,2.7210941964805925e-13,5.808470339099912e-11,2.8902049071750304e-11,2.7518829131977112e-09,3.1381816191810485e-10,1.3381775203417743e-10,5.941391248365125e-11,2.6265829613492382e-11,1.3256150066024859e-11,b'Classical',b'',7.259812252958797,0.04617259489090936,6.43443245007669,0.037011399512867874,6.082118693432056,0.03332694789831378,5.928569341820166,0.05079461796386957,0.825379802882101,0.35231375664464076,0.5058631082565253
b'2003 QO91',45.32835043,0.00888433,0.13241578,0.00032748,7.11624789,0.00021435,185.74451581,0.17550659,141.0489235,0.00137309,50052.6045178,39.21507434,39.32616133350404,0.02187865610195442,40.14730993,0.0012509,39.98859561,0.00124219,23.22297651,0.0620177,7,13,20.87972,39.8398557187,-0.4514282661,-3.4161216812,0.1024671817,0.9979981846,0.3138148699,1.5545026996645448e-06,-1.0229875701524566e-08,-1.3385383856311258e-07,-7.02940381769383e-08,2.8247234498327472e-08,1.4504223568453107e-08,5.327717708945481e-10,1.0057336633751121e-09,-9.125713234016393e-09,-8.099621891868042e-10,5.305828838805863e-10,1.1619153620188791e-08,3.142867641914088e-09,-2.612621334588008e-09,-1.0893837876491295e-09,2.272761499679049e-07,1.2600063346791432e-08,-1.5290534294918576e-08,1.3955014822366885e-09,-6.42674457189608e-10,1.1140191898281956e-09,b'Classical',b'',8.021357323793348,0.14490659616350846,7.220136306297496,0.10958557277171137,6.955443434239784,0.11335346762809674,7.0013613714867,0.1966193885709248,0.8012210174958498,0.26469287205771147,0.2187749348107942
b'2003 QQ91',38.76065309,0.00248575,0.07126309,0.00010461,5.40561453,0.00013124,45.93130925,0.03276659,58.25617574,0.00122826,76764.91090302,7.79897111,35.99844904083529,0.005928575939822963,38.32183881,0.00044141,38.43584086,0.00040513,23.66788572,0.06989792,11,18,37.20695,36.686576525,11.2378304655,2.2627708564,-0.3606217519,0.8406445419,0.447606616,1.7868091085452363e-07,5.283165380992159e-08,9.882859175680316e-09,-2.2164832936378833e-08,-5.225961818081297e-10,1.6536442867849115e-09,1.566207731640452e-08,2.933516370119527e-09,-6.1341061112593795e-09,-3.449918583848751e-11,5.102018575095298e-10,5.682304711768391e-10,-1.025888196787805e-09,2.8307752489989737e-11,1.0148352673916728e-10,1.0328653261515054e-08,2.229137445779601e-09,1.7740138472951462e-10,6.299551709274998e-10,1.0456123600419672e-10,4.423139256618922e-11,b'Classical',b'',8.512345652045157,0.10657066586924598,7.785377053738449,0.074429817653563,7.446930955184991,0.07872775812615374,7.524970224245797,0.1735124443374529,0.7269685983067097,0.33844609855345476,0.2604068294926525
b'2003 QT91',44.16529513,0.00190972,0.08256693,4.035e-05,0.18945907,7.748e-05,173.36419705,0.04269076,145.51240338,0.0198381,45658.26404847,8.99330341,40.5187022009283,0.0028983337950056,41.56488849,0.00040546,41.48191222,0.00040313,23.62180973,0.06384927,15,23,41.31543,41.3360296791,3.2226084216,1.3024924,-0.0279751565,0.9231505491,0.3973060558,1.6365590640888416e-07,1.0693085039612718e-08,4.255772852994333e-09,-9.288997646643445e-09,3.333726269290486e-09,1.4551592071584838e-09,7.409554743754562e-10,2.902745959699623e-10,-3.344853596088276e-10,2.385109322072816e-10,1.043044506740187e-10,1.2997060718390452e-10,-1.2421762901971038e-10,9.650767685367159e-11,3.9705266823917836e-11,3.1655931563474703e-09,3.151451867112464e-11,6.757626305627472e-12,8.956279038604007e-11,3.7142486089137404e-11,1.912903100440456e-11,b'Classical',b'',8.143510420362217,0.126420629006476,7.362154390011328,0.08521117493775839,6.823135447930097,0.09977340384259607,6.6145580466500515,0.10125810399981451,0.7813560303508821,0.5390189420812346,0.7475963433612837
b'2003 QV90',43.84035106,0.00311571,0.05398742,0.00010751,2.408842,0.00013015,307.99113809,0.05231363,138.06696186,0.00356788,78700.1770472,12.98429192,41.47352351325288,0.0066534581820682235,43.28172568,0.00068202,43.24390523,0.00067024,23.54174173,0.06626805,11,12,23.19807,42.840721445,5.8043772846,1.0085287748,-0.177969774,0.8774082401,0.353599944,4.575798892213681e-07,5.844030635342475e-08,8.96409154927551e-09,-1.657608659445199e-08,8.21633659580148e-09,3.798033053515593e-09,7.558738103372104e-09,1.167632551968041e-09,-1.3868228451145438e-09,1.1495999465680856e-09,5.003884071448792e-10,2.2242028932917471e-10,-3.303935240471751e-11,1.9918783454395817e-10,8.494768582466047e-11,1.0078570760892579e-08,9.442615520383793e-10,6.113839012732186e-11,3.216862059854614e-10,9.435351516716082e-11,4.679666493785578e-11,b'Classical',b'',8.300136097094532,0.18154719045355994,7.1721708159913735,0.08717133538844274,6.895746216484435,0.09098566194610788,6.91041807769926,0.10735802857184461,1.1279652811031526,0.27642459950694215,0.2617527382921177
