MPC,a,sigma_a,e,sigma_e,i,sigma_i,aop,sigma_aop,lan,sigma_lan,T_p,sigma_T,q,sigma_q,d,sigma_d,delta,sigma_delta,m_r,sigma_m_r,NUNIQUE,NDETECT,CHI2,x,y,z,vx,vy,vz,Sigma_x_x,Sigma_x_y,Sigma_x_z,Sigma_x_vx,Sigma_x_vy,Sigma_x_vz,Sigma_y_y,Sigma_y_z,Sigma_y_vx,Sigma_y_vy,Sigma_y_vz,Sigma_z_z,Sigma_z_vx,Sigma_z_vy,Sigma_z_vz,Sigma_vx_vx,Sigma_vx_vy,Sigma_vx_vz,Sigma_vy_vy,Sigma_vy_vz,Sigma_vz_vz,Class,Notes,H_g,sig_g,H_r,sig_r,H_i,sig_i,H_z,sig_z,g-r,r-i,r-z
b'2014 RT86',46.93777157,0.00409143,0.24201466,0.00010327,30.79475134,6.268e-05,317.58120232,0.04104367,95.08341346,0.00040201,63499.57840654,7.40410893,35.57814265381092,0.0075338089008485445,36.397448,0.00050388,36.6002001,0.00035063,23.5799479,0.06832578,10,12,26.29303,29.0995949646,19.1113109017,-11.2936272114,-0.468836065,0.8499502292,0.6129376331,1.6213524357408973e-07,1.0329928463791605e-07,-6.485204531079538e-08,6.745268019903023e-09,1.12625500005011e-08,-6.382970876931469e-10,6.593293046345189e-08,-4.130232897499963e-08,5.591686791421602e-09,8.027217273040923e-09,-9.120466125940436e-10,2.597912483611172e-08,-2.324375127360939e-09,-4.256256487490226e-09,1.030713866024797e-10,2.1189642985268213e-08,1.4321020412145815e-08,-8.20905585664936e-09,9.983555738875887e-09,-5.469614616505144e-09,3.2238679077513694e-09,b'Detached',b'',8.831259683195858,0.1387654280249378,7.885596265158162,0.07155289376837315,7.616939981710155,0.09368603417844079,7.683417855942613,0.16353757867959504,0.9456634180376947,0.26865628344800835,0.20217840921554744
b'2014 RU86',39.49519864,0.00180424,0.21957199,9.407e-05,30.21260906,5.945e-05,127.72594034,0.01565808,138.0949518,0.00034013,32366.37088465,5.77855388,30.823159386970687,0.0049540362667653435,42.39441857,0.0003106,42.62544824,0.00021709,23.43227913,0.04343628,12,22,30.04582,33.8689165165,22.8872875805,-12.0829383302,-0.3064786973,0.8648467961,0.1094898145,6.129020550662637e-08,4.0607822872186674e-08,-2.2523333268383216e-08,-6.775382675969125e-09,-3.2665958781624846e-09,2.477355749815016e-09,2.693607305161179e-08,-1.4926682450645496e-08,-4.2343139058788545e-09,-1.991020564135813e-09,1.5483960194430212e-09,8.29478107898415e-09,2.4875263064678754e-09,1.199602587771464e-09,-9.137861512495012e-10,8.068355428153386e-09,5.486196852518284e-09,-2.968812332240783e-09,3.773369603070441e-09,-2.0208692237725695e-09,1.1005489396117797e-09,b'Resonant 3:2',b'',7.8395130985098564,0.08250428341906868,7.0701635531028675,0.05488682298471218,6.803899511335734,0.08175168990107731,6.773961321625583,0.16826708782314612,0.7693495454069882,0.26626404176713214,0.29620223147728303
b'2014 RV86',119.93239145,0.02622496,0.672675,6.769e-05,28.49656648,4.415e-05,263.43792132,0.02344389,129.60938524,0.00051353,58126.58892523,4.48984087,39.25687046864361,0.016697411840645656,38.99922505,0.00049817,39.29207644,0.00034465,23.86129518,0.07754885,7,7,10.32587,30.6842393439,22.1950528219,-10.4749394666,-0.6820280253,1.0463812363,0.3498969497,1.5172004182618045e-07,1.0845086189258393e-07,-5.3623144071079216e-08,-1.0446556868229531e-08,2.2401018916715026e-10,4.071046435708172e-09,7.804941773079397e-08,-3.83289775400057e-08,-4.2232261378750056e-09,2.683181667280756e-09,1.7762233930530706e-09,1.90399475089422e-08,3.852990310786316e-09,4.885021626267059e-11,-1.5098866191890988e-09,2.6249639924362255e-08,1.9956530776199156e-08,-9.220624047726997e-09,1.5667564572035894e-08,-6.995132341845088e-09,3.270890196951269e-09,b'Resonant 8:1',b'',8.50794113753655,0.1717364638040424,7.913819689592815,0.11982277111530233,8.063733923835231,0.1844728087777642,8.275280121815443,0.42000466159585126,0.5941214479437328,-0.14991423424241257,-0.3614604322226287
b'2014 RW86',39.27725775,0.0021731,0.20185092,7.018e-05,23.28844989,1.17e-05,243.30687044,0.03754438,127.04875292,0.0004753,53370.74590978,5.86366503,31.34910721636477,0.004330180093735383,31.45799863,0.00028149,31.83035341,0.00019684,23.72074039,0.07313202,11,17,30.23398,24.0522944226,20.2589080848,-4.922923333,-0.631116824,0.9726258125,0.3647528713,4.4841090266675525e-08,3.800329753704507e-08,-9.821339101759772e-09,1.5778856425502994e-09,3.838481950260752e-09,3.800436376749188e-11,3.2310284817580924e-08,-8.316137811647945e-09,2.275150064422864e-09,4.052636441873753e-09,-1.7224201127668964e-10,2.1718881426325933e-09,-2.0125430836006418e-10,-7.176196037276188e-10,-4.089275034117401e-11,1.2446627537876135e-08,1.0695689668946742e-08,-2.700975845220016e-09,9.351994489123326e-09,-2.3023328566069396e-09,6.032415377827709e-10,b'Resonant 3:2',b'',9.278765902581968,0.10655406090688424,8.734057869664051,0.10952924435217365,8.392907840889253,0.10384700887696462,8.534247057311395,0.21227012633763634,0.5447080329179161,0.34115002877480005,0.19981081235265227
b'2014 RX86',45.26460045,0.00273888,0.17175254,4.837e-05,26.58892024,9.371e-05,248.17701545,0.06582502,154.60919968,0.00043161,58509.79777993,14.1083312,37.49029052998852,0.00443341612291561,37.1155164,0.00045266,37.51303291,0.0003165,23.49490265,0.06929029,13,17,31.2923,28.2165901457,24.0069200788,-5.8923226885,-0.7114062789,0.8439474151,0.1259980334,1.1762619346728598e-07,9.799191873140623e-08,-2.6020654277772965e-08,-3.2279705818550165e-08,-2.2840311382830187e-08,7.013460472628774e-09,8.17467710115839e-08,-2.1684473145372883e-08,-2.6009691705706873e-08,-1.8254234351996593e-08,5.648148161145294e-09,5.785130066514215e-09,7.112374869404848e-09,5.028716924857619e-09,-1.5541826234587984e-09,2.0759675047618383e-08,1.6881411333367676e-08,-4.570161563343843e-09,1.3925004909280922e-08,-3.723831282835507e-09,1.0213089382470212e-09,b'Classical',b'',8.703277312670151,0.11502678346799311,7.7304956890661725,0.08070484501075444,7.305853287301948,0.07935310702088295,7.244886332993035,0.1224419794953194,0.9727816236039818,0.4246424017642258,0.48560935607313693
b'2014 RY86',42.72096297,0.01181965,0.18547865,0.00014055,28.1625023,6.766e-05,246.39977681,0.0562635,14.32437208,0.00041528,49242.63281774,10.06264528,34.79713639420657,0.015251387284636049,37.01779486,0.00207419,36.21777674,0.0012739,23.60571834,0.0725123,8,13,18.90588,18.2871413948,-18.0207131378,-25.5452874252,1.0142602215,0.384961276,0.2840367055,9.991610065907831e-07,-1.0492919716429127e-06,-1.483083098645846e-06,2.835439890778353e-08,5.022091917758675e-08,5.893321043392306e-08,1.1020723965718426e-06,1.5576328919807599e-06,-2.929976463340661e-08,-5.321943422554488e-08,-6.257062864878217e-08,2.201592475950032e-06,-4.148436151634321e-08,-7.514850889509997e-08,-8.833739459471359e-08,3.858303600234637e-09,-1.5984681907407663e-09,-2.6357950662811615e-09,5.545534617991733e-09,7.247582393664693e-09,9.595585709224663e-09,b'Classical',b'',8.604204311250099,0.13970627611231737,7.995343236738551,0.12465383918301928,7.810537476979539,0.12036164270267795,7.828272336080984,0.20742849483955708,0.6088610745115476,0.1848057597590158,0.1670709006575662
b'2014 SA374',43.84758611,0.00154244,0.12156554,9.934e-05,35.78235164,7.81e-05,200.236601,0.01329969,72.30555521,0.00021496,31680.45062446,5.82706293,38.517230620493535,0.005532238387198976,44.10828156,0.00021807,44.24467909,0.00015514,23.31967811,0.03919919,20,33,79.56111,36.1892154502,20.412580423,-15.207198067,-0.0410238861,0.7460479909,0.571906221,3.1780000564589855e-08,1.7733471038417042e-08,-1.3666991326607694e-08,1.2309884111731562e-09,1.300834511211366e-09,-1.2015655339171395e-11,9.912045324178814e-09,-7.62557722569751e-09,8.42645980589128e-10,8.139992406276532e-10,-6.987743968045945e-11,5.891444063704653e-09,-4.0660571473391145e-10,-4.879063335222148e-10,-4.7060196859653326e-11,6.304700626170783e-09,3.6738649736558434e-09,-2.5550509328171625e-09,2.1592782518121764e-09,-1.4812440409243908e-09,1.049653525274127e-09,b'Classical',b'',7.420701502563118,0.0687903745827668,6.807679808683931,0.05637045023072667,6.576867529732338,0.06667288269056426,6.410528903872921,0.10254185066352955,0.613021693879192,0.230812278951589,0.397150904811008
b'2014 SA404',48.17032673,0.00572744,0.24842764,0.00017197,20.58148695,1.905e-05,212.03255416,0.02694107,125.59336626,0.00063493,45999.22472415,3.71785074,36.203485977908606,0.012322520366260773,39.13454063,0.00058527,39.47177005,0.00042357,24.11624267,0.08795948,9,12,22.01654,31.4658141936,23.3029871986,-4.989384262,-0.4191162654,0.9527509414,0.3145233209,2.1605517575997457e-07,1.6129233985716216e-07,-3.6109362614527306e-08,-4.572445352443433e-10,6.161238473601894e-09,1.4404604051114961e-09,1.2055818512587526e-07,-2.6939756098762778e-08,1.1398874730002693e-09,5.750294686499937e-09,8.338916571018638e-10,6.070661162372671e-09,3.8776379006795014e-10,-7.913603225359002e-10,-2.8482754800655824e-10,2.1957869832541258e-08,1.6870129221633972e-08,-3.567027237659458e-09,1.3182967734230434e-08,-2.701432874851883e-09,6.04197523155034e-10,b'Detached',b'',8.737015036395514,0.17092663135987665,7.990250417504784,0.08167852275524302,7.529063355143316,0.09842962030156104,7.495922319081187,0.17515257425570355,0.7467646188907306,0.46118706236146423,0.49432809842359676
b'2014 SB374',44.19822896,0.00150567,0.17265856,6.157e-05,40.7529987,3.961e-05,1.7042145,0.00884948,100.91998658,0.00013667,72711.70405579,1.15016999,36.56702636904882,0.003795533361659684,39.98127941,0.0002076,40.38259484,0.00013197,22.94050418,0.03794935,15,22,35.07321,24.758695429,28.6172158954,-14.1002099589,-0.5656988508,0.5836888157,0.634573748,1.6454901015224887e-08,1.856252540139453e-08,-9.696209473740247e-09,-1.74761944980824e-09,-1.2176558467546744e-09,1.2113445341789524e-09,2.097494068092043e-08,-1.0940496594595344e-08,-1.8365352569659064e-09,-1.2136525826326631e-09,1.2914570820267652e-09,5.72650766356269e-09,1.0622550517832474e-09,7.585642646331438e-10,-7.353781324166606e-10,1.4300903192180614e-09,1.6479867800032483e-09,-8.341255523793111e-10,1.9502286702083815e-09,-9.524688244368604e-10,4.92907348367432e-10,b'Classical',b'',7.351660955693157,0.0978435711987075,6.998035617790395,0.07349254761633964,6.8566431844217295,0.08313164702888944,6.670299936759227,0.11234520992118188,0.3536253379027614,0.14139243336866675,0.3277356810311639
b'2014 SB404',39.42822987,0.0022833,0.10518723,0.00011988,21.84385412,5.028e-05,200.55548896,0.04404754,135.1028504,0.00059011,45605.92354429,7.54784649,35.28088338997561,0.006170227975355791,36.51824339,0.00047935,36.85582776,0.00034601,23.91583816,0.06856051,11,11,23.12093,29.3589397218,21.6708012336,-5.1750431937,-0.5096086764,0.9028473249,0.2601862817,1.4505638358246235e-07,1.0748171420442927e-07,-2.7053182436904186e-08,-8.043706604093293e-09,-1.0326781148207e-09,2.0980270529979337e-09,7.975857963288437e-08,-2.0042485193319545e-08,-5.0911882866775676e-09,-8.947160065637669e-11,1.3965533798468424e-09,5.082697204561157e-09,1.6054277635656907e-09,2.749313418112918e-10,-4.1313817337259754e-10,1.22395035892167e-08,9.25752558273982e-09,-2.263897166258022e-09,7.210256102329134e-09,-1.6925059455747414e-09,4.379282997214227e-10,b'Resonant 3:2',"b'3,2,-6,0,1,0'",8.6511863852502,0.10186443306263146,8.18757736999015,0.07756940657254532,8.156917088118393,0.12239331919882579,7.7918270657813995,0.22127337519025464,0.4636090152600531,0.0306602818717558,0.395750304208748
